,t,v
259,10.37037037,0.037037037
260,10.41041041,0.041041041
261,10.45045045,0.045045045
262,10.49049049,0.049049049
263,10.53053053,0.053053053
264,10.57057057,0.057057057
265,10.61061061,0.061061061
266,10.65065065,0.065065065
267,10.69069069,0.069069069
268,10.73073073,0.073073073
269,10.77077077,0.077077077
270,10.81081081,0.081081081
271,10.85085085,0.085085085
272,10.89089089,0.089089089
273,10.93093093,0.093093093
274,10.97097097,0.097097097
275,11.01101101,0.101101101
276,11.05105105,0.105105105
277,11.09109109,0.109109109
278,11.13113113,0.113113113
279,11.17117117,0.117117117
280,11.21121121,0.121121121
281,11.25125125,0.125125125
282,11.29129129,0.129129129
283,11.33133133,0.133133133
284,11.37137137,0.137137137
285,11.41141141,0.141141141
286,11.45145145,0.145145145
287,11.49149149,0.149149149
288,11.53153153,0.153153153
289,11.57157157,0.157157157
290,11.61161161,0.161161161
291,11.65165165,0.165165165
292,11.69169169,0.169169169
293,11.73173173,0.173173173
294,11.77177177,0.177177177
295,11.81181181,0.181181181
296,11.85185185,0.185185185
297,11.89189189,0.189189189
298,11.93193193,0.193193193
299,11.97197197,0.197197197
300,12.01201201,0.201201201
301,12.05205205,0.205205205
302,12.09209209,0.209209209
303,12.13213213,0.213213213
304,12.17217217,0.217217217
305,12.21221221,0.221221221
306,12.25225225,0.225225225
307,12.29229229,0.229229229
308,12.33233233,0.233233233
309,12.37237237,0.237237237
310,12.41241241,0.241241241
311,12.45245245,0.245245245
312,12.49249249,0.249249249
313,12.53253253,0.253253253
314,12.57257257,0.257257257
315,12.61261261,0.261261261
316,12.65265265,0.265265265
317,12.69269269,0.269269269
318,12.73273273,0.273273273
319,12.77277277,0.277277277
320,12.81281281,0.281281281
321,12.85285285,0.285285285
322,12.89289289,0.289289289
323,12.93293293,0.293293293
324,12.97297297,0.297297297
325,13.01301301,0.301301301
326,13.05305305,0.305305305
327,13.09309309,0.309309309
328,13.13313313,0.313313313
329,13.17317317,0.317317317
330,13.21321321,0.321321321
331,13.25325325,0.325325325
332,13.29329329,0.329329329
333,13.33333333,0.333333333
334,13.37337337,0.337337337
335,13.41341341,0.341341341
336,13.45345345,0.345345345
337,13.49349349,0.349349349
338,13.53353353,0.353353353
339,13.57357357,0.357357357
340,13.61361361,0.361361361
341,13.65365365,0.365365365
342,13.69369369,0.369369369
343,13.73373373,0.373373373
344,13.77377377,0.377377377
345,13.81381381,0.381381381
346,13.85385385,0.385385385
347,13.89389389,0.389389389
348,13.93393393,0.393393393
349,13.97397397,0.397397397
350,14.01401401,0.401401401
351,14.05405405,0.405405405
352,14.09409409,0.409409409
353,14.13413413,0.413413413
354,14.17417417,0.417417417
355,14.21421421,0.421421421
356,14.25425425,0.425425425
357,14.29429429,0.429429429
358,14.33433433,0.433433433
359,14.37437437,0.437437437
360,14.41441441,0.441441441
361,14.45445445,0.445445445
362,14.49449449,0.449449449
363,14.53453453,0.453453453
364,14.57457457,0.457457457
365,14.61461461,0.461461461
366,14.65465465,0.465465465
367,14.69469469,0.469469469
368,14.73473473,0.473473473
369,14.77477477,0.477477477
370,14.81481481,0.481481481
371,14.85485485,0.485485485
372,14.89489489,0.489489489
373,14.93493493,0.493493493
374,14.97497497,0.497497497
375,15.01501502,0.501501502
376,15.05505506,0.505505506
377,15.0950951,0.50950951
378,15.13513514,0.513513514
379,15.17517518,0.517517518
380,15.21521522,0.521521522
381,15.25525526,0.525525526
382,15.2952953,0.52952953
383,15.33533534,0.533533534
384,15.37537538,0.537537538
385,15.41541542,0.541541542
386,15.45545546,0.545545546
387,15.4954955,0.54954955
388,15.53553554,0.553553554
389,15.57557558,0.557557558
390,15.61561562,0.561561562
391,15.65565566,0.565565566
392,15.6956957,0.56956957
393,15.73573574,0.573573574
394,15.77577578,0.577577578
395,15.81581582,0.581581582
396,15.85585586,0.585585586
397,15.8958959,0.58958959
398,15.93593594,0.593593594
399,15.97597598,0.597597598
400,16.01601602,0.601601602
401,16.05605606,0.605605606
402,16.0960961,0.60960961
403,16.13613614,0.613613614
404,16.17617618,0.617617618
405,16.21621622,0.621621622
406,16.25625626,0.625625626
407,16.2962963,0.62962963
408,16.33633634,0.633633634
409,16.37637638,0.637637638
410,16.41641642,0.641641642
411,16.45645646,0.645645646
412,16.4964965,0.64964965
413,16.53653654,0.653653654
414,16.57657658,0.657657658
415,16.61661662,0.661661662
416,16.65665666,0.665665666
417,16.6966967,0.66966967
418,16.73673674,0.673673674
419,16.77677678,0.677677678
420,16.81681682,0.681681682
421,16.85685686,0.685685686
422,16.8968969,0.68968969
423,16.93693694,0.693693694
424,16.97697698,0.697697698
425,17.01701702,0.701701702
426,17.05705706,0.705705706
427,17.0970971,0.70970971
428,17.13713714,0.713713714
429,17.17717718,0.717717718
430,17.21721722,0.721721722
431,17.25725726,0.725725726
432,17.2972973,0.72972973
433,17.33733734,0.733733734
434,17.37737738,0.737737738
435,17.41741742,0.741741742
436,17.45745746,0.745745746
437,17.4974975,0.74974975
438,17.53753754,0.753753754
439,17.57757758,0.757757758
440,17.61761762,0.761761762
441,17.65765766,0.765765766
442,17.6976977,0.76976977
443,17.73773774,0.773773774
444,17.77777778,0.777777778
445,17.81781782,0.781781782
446,17.85785786,0.785785786
447,17.8978979,0.78978979
448,17.93793794,0.793793794
449,17.97797798,0.797797798
450,18.01801802,0.801801802
451,18.05805806,0.805805806
452,18.0980981,0.80980981
453,18.13813814,0.813813814
454,18.17817818,0.817817818
455,18.21821822,0.821821822
456,18.25825826,0.825825826
457,18.2982983,0.82982983
458,18.33833834,0.833833834
459,18.37837838,0.837837838
460,18.41841842,0.841841842
461,18.45845846,0.845845846
462,18.4984985,0.84984985
463,18.53853854,0.853853854
464,18.57857858,0.857857858
465,18.61861862,0.861861862
466,18.65865866,0.865865866
467,18.6986987,0.86986987
468,18.73873874,0.873873874
469,18.77877878,0.877877878
470,18.81881882,0.881881882
471,18.85885886,0.885885886
472,18.8988989,0.88988989
473,18.93893894,0.893893894
474,18.97897898,0.897897898
475,19.01901902,0.901901902
476,19.05905906,0.905905906
477,19.0990991,0.90990991
478,19.13913914,0.913913914
479,19.17917918,0.917917918
480,19.21921922,0.921921922
481,19.25925926,0.925925926
482,19.2992993,0.92992993
483,19.33933934,0.933933934
484,19.37937938,0.937937938
485,19.41941942,0.941941942
486,19.45945946,0.945945946
487,19.4994995,0.94994995
488,19.53953954,0.953953954
489,19.57957958,0.957957958
490,19.61961962,0.961961962
491,19.65965966,0.965965966
492,19.6996997,0.96996997
493,19.73973974,0.973973974
494,19.77977978,0.977977978
495,19.81981982,0.981981982
496,19.85985986,0.985985986
497,19.8998999,0.98998999
498,19.93993994,0.993993994
499,19.97997998,0.997997998
500,20.02002002,0.997997998
501,20.06006006,0.993993994
502,20.1001001,0.98998999
503,20.14014014,0.985985986
504,20.18018018,0.981981982
505,20.22022022,0.977977978
506,20.26026026,0.973973974
507,20.3003003,0.96996997
508,20.34034034,0.965965966
509,20.38038038,0.961961962
510,20.42042042,0.957957958
511,20.46046046,0.953953954
512,20.5005005,0.94994995
513,20.54054054,0.945945946
514,20.58058058,0.941941942
515,20.62062062,0.937937938
516,20.66066066,0.933933934
517,20.7007007,0.92992993
518,20.74074074,0.925925926
519,20.78078078,0.921921922
520,20.82082082,0.917917918
521,20.86086086,0.913913914
522,20.9009009,0.90990991
523,20.94094094,0.905905906
524,20.98098098,0.901901902
525,21.02102102,0.897897898
526,21.06106106,0.893893894
527,21.1011011,0.88988989
528,21.14114114,0.885885886
529,21.18118118,0.881881882
530,21.22122122,0.877877878
531,21.26126126,0.873873874
532,21.3013013,0.86986987
533,21.34134134,0.865865866
534,21.38138138,0.861861862
535,21.42142142,0.857857858
536,21.46146146,0.853853854
537,21.5015015,0.84984985
538,21.54154154,0.845845846
539,21.58158158,0.841841842
540,21.62162162,0.837837838
541,21.66166166,0.833833834
542,21.7017017,0.82982983
543,21.74174174,0.825825826
544,21.78178178,0.821821822
545,21.82182182,0.817817818
546,21.86186186,0.813813814
547,21.9019019,0.80980981
548,21.94194194,0.805805806
549,21.98198198,0.801801802
550,22.02202202,0.797797798
551,22.06206206,0.793793794
552,22.1021021,0.78978979
553,22.14214214,0.785785786
554,22.18218218,0.781781782
555,22.22222222,0.777777778
556,22.26226226,0.773773774
557,22.3023023,0.76976977
558,22.34234234,0.765765766
559,22.38238238,0.761761762
560,22.42242242,0.757757758
561,22.46246246,0.753753754
562,22.5025025,0.74974975
563,22.54254254,0.745745746
564,22.58258258,0.741741742
565,22.62262262,0.737737738
566,22.66266266,0.733733734
567,22.7027027,0.72972973
568,22.74274274,0.725725726
569,22.78278278,0.721721722
570,22.82282282,0.717717718
